rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
"Deluxe Room, Pool Access (2 Twin Beds)",room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Standard Double Room, Non Smoking(with breakfast)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Room (1 Queen Bed and 2 Twin Beds),room,deluxe,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Double Montaigne Apartment (full double bed) (queen size bed),apartment,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Locke Studio, Twin (2 Twin Beds)",studio,undefined,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"single Suite, Harbor View",suite,undefined,private bathroom,undefined,single,not club,undefined,no balcony,harbour view,undefined
deluxe double bed (1 Double),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
[King standard] [King room] [non-smoking] [no view] no meals plan [no meals],room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Suite Regency Suite-,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed, Balcony (Deluxe King with Patio or Balcony)",room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
Family Villa (4) Two Bedroom Villa,villa,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
Premium room (full double bed),room,premium,private bathroom,double/double-or-twin,undefined,not club,undefined,no balcony,undefined,undefined
"Oceanfront View, Guest Room, 1 King, Pool Access",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,ocean front,undefined
Apartment (3 Adults),apartment,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
room for two persons twin Twin beds,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"2 Queen Beds, Mobility Accessible Room, Non-Smoking",room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
Room Standard Double  STANDARD ROOM,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior suite room with 1 double bed  ,suite,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
OCEAN VIEW TWO ROOM SUITE WITH KING BED,suite,undefined,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,ocean view,undefined
Superior Single room (single bed),room,superior,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
SMART STUDIO,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Exclusive Penthouse, 2 Bedrooms, Non Smoking, City View (2 Queen Beds)",room,standard,private bathroom,undefined,quadruple,not club,2 bedrooms,no balcony,city view,penthouse floor
"Family Suite, Partial Ocean View",suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,partial-ocean view,undefined
FIT standard room with 1 double bed  ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Room, 1 Double Bed, Non Smoking (Moxy Sleeper) non-smoking",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Executive Room Double Executive Room,room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Triple (double bed + extra bed) Standard,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
2 Bedrooms Superior Double room (full double bed),room,superior,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,undefined,undefined
Baby Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Guestroom - 4-Person Occupancy (Males Only, Room Rate Calculated Per Person, No Air Conditioner) non-smoking",dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Single +,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
1 King Bed City View 1 King Bed City View,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Twin Twin room (1 Twin),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Studio premium double or twin room (attic) double ,studio,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,attic floor
One Bedroom Suite One Bedroom Suite-,suite,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
Single Double room (full double bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
King Deluxe Room - Double (2A) King Deluxe Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Standard Double room with balcony and with view (full double bed) (king size bed, external private bathroom)",room,standard,external private bathroom,double/double-or-twin,double,not club,undefined,balcony,with view,undefined
Privilege Sky Wing,room,privilege,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 King Bed with Sofa bed, Accessible (1 King Bed and 1 Twin Sofa Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 Double Standard Accessible,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
3 Bedrooms Apartment with view,apartment,undefined,private bathroom,undefined,undefined,not club,3 bedrooms,no balcony,with view,undefined
Preferred Double Room with Two Double Beds,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Studio, 1 Double Bed (2 people) (1 Double Bed)",studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Studio, Accessible (1 King Bed)",studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Premium Room, 1 King Bed, Corner (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Superior Double or Twin Room,2 Twin Beds,NonSmoking",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Residential Suite- High Floor,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
[Superior] [Semi-double room] [No smoking] [City view] [Superior] [Semi-double room] [No smoking] [City view] [SAVER] Simple stay [no meals] ,room,superior,private bathroom,single bed,single,not club,undefined,no balcony,city view,undefined
Classic Double Room 1 Double Bed- Non Refundable,room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Triple Room, Ensuite (1 Queen Bed and 1 Twin Bed)",room,deluxe,private bathroom,multiple,single,not club,undefined,no balcony,undefined,undefined
deluxe king studio (1 King),studio,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
STUDIO SUIT,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
02Deluxe Room King,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Economy Basement Studio (no window),studio,economy,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,basement floor
"City Suite, 1 Queen Bed, Non Smoking, City View (1 Queen Bed)",suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"Executive Apartment, 1 Bedroom",apartment,executive,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
Deluxe Double room with Bosphorus view (full double bed) (queen size bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,bosphorus view,undefined
Room assigned at check in (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Bed in a Shared 10-bed FEMALE Dormitory (10 Twin Beds),dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Suite Duplex (2 Twin Beds),suite,undefined,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,duplex floor
Single Bed in 6-Bed Female Dormitory Room (En-Suite Shared Bathroom),dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Family Suite, 1 Bedroom, Garden View (2 Double Beds and 1 Double Sofa Bed)",suite,undefined,private bathroom,twin/twin-or-double,quadruple,not club,1 bedroom,no balcony,garden view,undefined
Sanders Bedroom 1 King Bed- Non Refundable,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
la vela deluxe twin (1 Twin),room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Junior Single Room, Non Smoking, City View (1 Large Twin Bed)",room,standard,private bathroom,undefined,single,not club,undefined,no balcony,city view,undefined
Deluxe Chill Twin Room,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Double Sea View Double Room With Sea View (1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
"Standard Standard Room, 2 Twin Beds, Smoking",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"double Traditional Double Or Twin Room, 1 Bedroom",room,standard,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
Deluxe Room With City View non-smoking,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,city view,undefined
"Apartment, 1 Bedroom, Pool View (2 adults + 1 child) (2 Twin Beds and 1 Double Sofa Bed)",apartment,undefined,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,pool view,undefined
SUPERIOR ROOM SUPERIOR ROOM,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Chelsea Grand Suite,suite,grand,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Deluxe Basement room,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,basement floor
Doble Vista Mar,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Triple Room Non Smoking non-smoking,room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Deluxe Room Single bed(1 Amount) Double(1 Amount),room,deluxe,private bathroom,multiple,single,not club,undefined,no balcony,undefined,undefined
"Single Economic Room, City View, ",room,economy,private bathroom,undefined,single,not club,undefined,no balcony,city view,undefined
"Deluxe Jacuzzi King (For 2 adults, 0 children and 0 infants)",room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Twin Deluxe Window No View,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Quadruple room with lake view (twin beds) (2 double beds),room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,lake view,undefined
Optima Double,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Room Large Double(1 Amount),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Superior Room, Balcony, Garden View(1 Twin Bed)",room,superior,private bathroom,single bed,single,not club,undefined,balcony,garden view,undefined
"Standard Apartment, Multiple Beds, Balcony (1 Double Bed and 2 Queen Beds)",apartment,standard,private bathroom,undefined,quadruple,not club,undefined,balcony,undefined,undefined
2 Double Beds  Non-Smoking,room,standard,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,undefined,undefined
Standard superior room with 1 single and 1 double bed double ,room,superior,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
Deluxe Room 1 Queen bed non-smoking,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double Room with City View Superior Double Room with City View Room Only (1 Double),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"Deluxe Room, 1 King Bed (Deluxe King)",room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Mento,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Romantic Suite (1 Queen Bed and 1 Twin Sofa Bed),suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Mandarin, Room, River View 1 King Bed",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,river view,undefined
ECONOMY ROOM Economy Room,room,economy,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Double Standard Room ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
2 Twin Mobility Access W/Ri Shwr non-smoking,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Room Standard Room Double,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Room DBL/Twin,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double Room   single occupancy   Non refundable,room,superior,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
Studio single apartment  ,studio,undefined,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Deluxe room with Bosphorus view (french balcony),room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,bosphorus view,undefined
Just Right (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
King Bed (Plus Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family Room - Sea View Single bed(3 Amount),room,standard,private bathroom,single bed,single,not club,undefined,no balcony,sea view,undefined
Standard Room Double Standard room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double Room (1 Adult + 1 Child) (1 Double Bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Room (La Terrazza) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 Queen Bed Standard Nonsmoking,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Luxe Business,room,business,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Basic 6-Bed Mix Dormitory Room with Shared Bathroom,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Our rooms - your well-deserved relaxing stay,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Economy room with garden view (annex),room,economy,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
1 King Bed Standard Jewel Wing,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 Person in Dormitory - Female Only,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Room, 2 Twin Beds, Non Smoking (MOXY Sleeper)",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Economy standard quadruple room (attic) double ,room,economy,private bathroom,double/double-or-twin,quadruple,not club,undefined,no balcony,undefined,attic floor
Comfort Triple Comfort Triple room with 1 double and 1 single bed ,room,comfort,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Panorama Suite : Bed and Breakfast for 2,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"1 Queen 2 Single Beds, Superior Room, 2 Connecting Rooms",room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard superior room with 2 twin beds twin,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
2 | DOBLE NACIONAL,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Ocean Front Balcony King,room,superior,private bathroom,undefined,undefined,not club,undefined,balcony,ocean front,undefined
Standard Single Basic Rate with breakfast (only RF citizens),room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"Economy Double Room, Ensuite (1 Double Bed)",room,economy,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
One Bedroom Suite King Sea View,suite,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,sea view,undefined
Superior MV,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Terrace Suite Suite - Terrace (1 Double or 1 Twin),suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Room with 1bed - Non-Smoking(1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 Bedroom Apartment Marina View (2 Twin Beds),apartment,undefined,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,harbour view,undefined
Double room King bed - De Luxe - Lagoon View Double room King bed - De Luxe - Lagoon View,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,bay view,undefined
Standard Double Room STANDARD DOUBLE Breakfast Flexi (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Urban Twin or Double Room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
double Premier Twin,room,premier,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Luxury Private Pool Room,room,luxury,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Design Double Star Front Sea View,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea front,undefined
"Classic Twin Room, Bathtub, 2 Twin Beds",room,classic,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"1 King Bed, Non-Smoking, Work Desk, Microwave And Refrigerator, Shower Only, Full Breakfast",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
TWIN (2+0) TWIN STANDARD ROOM,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Superior Double Basic rate without breakfast,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Comfort Studio, 1 Queen Bed, Sea View (1 Queen Bed)",studio,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
Classic Double or Twin Room(1 Double Bed and 2 Twin Beds),room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard room for two persons Twin / Double Double bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Ð¡ÑÐ°Ð½Ð´Ð°ÑÑ 2-Ð¼ÐµÑÑÐ½ÑÐ¹ Ñ Ð¾Ð´Ð½Ð¾Ð¹ ÐºÑÐ¾Ð²Ð°ÑÑÑ Ð²Ð¸Ð´ Ð½Ð° Ð³Ð¾ÑÐ¾Ð´,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,city view,undefined
Double room - Superior - Sea View Breakfast,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
Triple Superior Room (Promotion),room,superior,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
"Deluxe Double Room, 1 Double Bed and 1 Double Sofa Bed",room,deluxe,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Deluxe Room with Terrace,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Double Room, Lake View (Front) (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,lake view,undefined
"Apartment, Balcony (1 Double Bed and 2 Twin Beds)",apartment,undefined,private bathroom,undefined,double,not club,undefined,balcony,undefined,undefined
Standard Twin Room (Floor 3 ~16) (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe City View Room Deluxe City View Room ,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,city view,undefined
Standard Double Studio (full double bed) (kitchen),studio,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Suite NoMad Suite 1 King Bed,suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Monroe Double room with view (full double bed) (bed type is subject to availability),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,with view,undefined
Lagoon Deluxe Room,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Premium Room, Pool or Garden View, With Air Conditioning",room,premium,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
"Executive Double Room Single Use, Sea View (1 Double Bed)",room,executive,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,sea view,undefined
1-room standard quadruple apartment with 1 double bed  ,apartment,standard,private bathroom,double/double-or-twin,quadruple,not club,1 bedroom,no balcony,undefined,undefined
Treehouse TPWHDV01- / - BB - Early Bird,cottage,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
double room (1 Double or 2 Single),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
double room mignonne,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Luxe Twin Room (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe superior double or twin room double ,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Twin/Double room - Grand room Twin/Double room - Grand room,room,grand,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Preferred Literary Double Bed Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Room (Lake View),room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,lake view,undefined
"Standard Single Room, Sea View (1 Twin Bed)",room,standard,private bathroom,single bed,single,not club,undefined,no balcony,sea view,undefined
Standard Family room with city view (shared bathroom),room,standard,shared bathroom,undefined,undefined,not club,undefined,no balcony,city view,undefined
"Double Room, Harbor View (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,harbour view,undefined
TWIN ROOM INSIDE TWIN STANDARD ROOM,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Double Comfort BB,room,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Standard Double Room, Kitchenette (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Single room with balcony (full double bed) (+ sofa),room,superior,private bathroom,double/double-or-twin,single,not club,undefined,balcony,undefined,undefined
Studio Rooms,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed with Sofa bed 1 King Bed and 1 Double Sofa Bed",room,deluxe,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
TWO DOUBLE BED GUEST ROOM,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Bed in Female-Only Dormitory of 6 with Shared Bathroom non-smoking,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Suite 1 bedroom - Skyline view,suite,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,with view,undefined
"1 Queen Bed, Comfort Room, Non-Smoking, Twin Beds On Request",room,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
2 Qn Hearing Walkin Shower,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Superior Non Refundable Rate,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Premium Single Studio,studio,premium,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Standard Room City View (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"Room With 1 Double Bed 160x200 Cm, New Sleep-Easy Concept",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Sea View 1 King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
Opal/Canyon Tower - Chamber King (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"1 KING BED JUNIOR SUITE WITH BALCONY Junior Suite, 1 King Bed with Sofa bed, Balcony (1 Double)",junior-suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
Sky Loft,apartment,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, 2 Double Beds (Deluxe Two Doubles)",room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,undefined,undefined
One Bedroom Suite MARJAN SUITE/FAMILY SUITE/1 BEDROOM SUITE,suite,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
Double Single Use Double or Twin Room - single occupancy - Non-refundable - Breakfast included in the price - Free WiFi,room,standard,private bathroom,double/double-or-twin,undefined,not club,undefined,no balcony,undefined,undefined
Double Room with 1 double bed ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Single One single bed,room,superior,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
Duplex One Bedroom Apartment   ,apartment,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,duplex floor
"Standard Room, 1 King Bed, Non Smoking, Refrigerator & Microwave (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Mansion Room - Special 201 Double(1 Amount),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Double room. Standard. Half board. Balcony or terrace.,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Apartment (Solna C104) (1 Double Bed and 1 Double Sofa Bed),apartment,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, 2 Queen Beds, Non Smoking Room Only",room,deluxe,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
2 Double Standard Comm Access Roll Shwr,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Modern Queen Suite + Grab n Go Bites,suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Two Bedroom Apartment Room Only,apartment,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
Suite room with 1 double bed Mango  ,suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Twin, Sea view, ",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,sea view,undefined
"Junior Suite, Terrace (1 King Bed)",junior-suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
DOUBLE ROOM STANDARD  DOUBLE STANDARD ROOM,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Room - Non-Refundable,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Guest Room Twin All Inclusive,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Saigon Twin/Double Room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
*DELUXE GARDEN VIEW,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
2 doubles,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Comfort Double/Twin with air conditioner Basic Rate with breakfast,room,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family Suite (Garden),suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Spacious Ocean View Room Ocean,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,ocean view,undefined
Triple TRIPLE Classic room ,room,classic,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
"Suite, Terrace (Panoramic) (1 King Bed)",suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
